 4  50.074916667   19.764694444      787    11030    18  91337.772  KRW EPKK EP 25 ILS-cat-I
 6  50.080555556   19.795250000      787    11030    18 300257.772  KRW EPKK EP 25 GS
12  50.080555556   19.795250000      787    11030    25      0.000  KRW EPKK EP BALICE DME-ILS
14  50.080244444   19.802911111      791    54108   0.0     77.746  R07 EPKK EP 07 LPV
16  50.075397222   19.768094444      789    54108  50.0 300077.746  R07 EPKK EP 07 EGNOS
14  50.075397222   19.768094444      778    46180   0.0    257.772  R25 EPKK EP 25 LPV
16  50.079791667   19.799658333      780    46180  50.0 300257.772  R25 EPKK EP 25 EGNOS
 4  52.339444444   16.943361111      274    11190    18 106137.944  IKS EPKS EP 29 ILS-cat-I
 6  52.329138889   16.979027778      274    11190    18 300297.944  IKS EPKS EP 29 GS
12  52.329138889   16.979027778      274    11190    25      0.000  IKS EPKS EP KRZESINY DME-ILS
 4  50.476055556   19.055638889     1007    10990    18  95670.213 IKTO EPKT EP 27 ILS-cat-II
 6  50.477055556   19.095222222     1007    10990    18 300270.213 IKTO EPKT EP 27 GS
12  50.477055556   19.095222222      984    10990    25      0.000 IKTO EPKT EP PYRZOWICE DME-ILS
14  50.475950000   19.104647222      970    67663   0.0     90.183  R09 EPKT EP 09 LPV
16  50.476050278   19.059569444      970    67663  50.0 300090.183  R09 EPKT EP 09 EGNOS
14  50.476050278   19.059569444     1002    67842   0.0    270.215  R27 EPKT EP 27 LPV
16  50.475960556   19.100138472     1002    67842  50.0 300270.215  R27 EPKT EP 27 EGNOS
 4  51.237083333   22.692027778      787    11195    18  90977.114 ISWI EPLB EP 25 ILS-cat-II
 6  51.243138889   22.726194444      787    11195    18 300257.114 ISWI EPLB EP 25 GS
12  51.243138889   22.726194444      787    11195    25      0.000 ISWI EPLB EP LUBLIN DME-ILS
 4  51.556138889   19.156194444      630    11090    18 101807.438  IAS EPLK EP 28 ILS-cat-I
 6  51.550138889   19.192750000      630    11090    18 300287.438  IAS EPLK EP 28 GS
12  51.550138889   19.192750000      630    11090    25      0.000  IAS EPLK EP LASK DME-ILS
 4  51.715666667   19.369583333      591    11050    18  88450.610  LOD EPLL EP 25 ILS-cat-I
 6  51.723583333   19.400694444      591    11050    18 300250.610  LOD EPLL EP 25 GS
12  51.723583333   19.400694444      591    11050    25      0.000  LOD EPLL EP LUBLINEK DME-ILS
 4  54.023916667   19.112333333       18    11050    18  91339.095  IMB EPMB EP 25 ILS-cat-I
 6  54.027055556   19.149861111       18    11050    18 300259.095  IMB EPMB EP 25 GS
12  54.027083333   19.149777778       18    11050    25      0.000  IMB EPMB EP MALBORK DME-ILS
 4  53.404138889   16.060861111      591    11090    18 108304.851  IMI EPMI EP 30 ILS-cat-I
 6  53.389583333   16.092500000      591    11090    18 300304.851  IMI EPMI EP 30 GS
